Date,Order number,Category,Category name,Origin,Remaining (MT)
2026-08-04,058600,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,EU,69090
2026-08-04,058601,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,India,8057
2026-08-04,058602,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,Korea (the Republic of),818
2026-08-04,058603,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,Residual,2071
2026-08-04,058604,4,Metallic Coated Sheets,EU,92351
2026-08-04,058605,4,Metallic Coated Sheets,India,26744
2026-08-04,058606,4,Metallic Coated Sheets,Korea (the Republic of),18966
2026-08-04,058607,4,Metallic Coated Sheets,Vietnam,43495
2026-08-04,058608,4,Metallic Coated Sheets,Residual,15218
2026-08-04,058609,5,Organic Coated Sheets,EU,3472
2026-08-04,058610,5,Organic Coated Sheets,Korea (the Republic of),4622
2026-08-04,058611,5,Organic Coated Sheets,Residual,563
2026-08-04,058612,6,Tin Mill Products,EU,9253
2026-08-04,058613,6,Tin Mill Products,Japan,78
2026-08-04,058614,6,Tin Mill Products,Korea (the Republic of),295
2026-08-04,058615,6,Tin Mill Products,Residual,5876
2026-08-04,058616,7,Non-Alloy and Other Alloy Quarto Plates,EU,37451
2026-08-04,058617,7,Non-Alloy and Other Alloy Quarto Plates,Korea (the Republic of),8444
2026-08-04,058618,7,Non-Alloy and Other Alloy Quarto Plates,United States of America (the),190
2026-08-04,058619,7,Non-Alloy and Other Alloy Quarto Plates,Residual,2169
2026-08-04,058620,12A,Alloy Merchant Bars and Light Sections,EU,16042
2026-08-04,058621,12A,Alloy Merchant Bars and Light Sections,Residual,5167
2026-08-04,058622,12B,Non Alloy Merchant Bars and Light Sections,EU,1071
2026-08-04,058623,12B,Non Alloy Merchant Bars and Light Sections,Turkey,318
2026-08-04,058624,12B,Non Alloy Merchant Bars and Light Sections,Residual,0
2026-08-04,058625,13,Rebars,EU,29429
2026-08-04,058626,13,Rebars,Turkey,5308
2026-08-04,058627,13,Rebars,Residual,2
2026-08-04,058628,14,Stainless Bars and Light Sections,EU,2155
2026-08-04,058629,14,Stainless Bars and Light Sections,United States of America (the),381
2026-08-04,058630,14,Stainless Bars and Light Sections,Residual,54
2026-08-04,058634,16,Non-alloy and other alloy wire rod,EU,31388
2026-08-04,058635,16,Non-alloy and other alloy wire rod,Residual,1357
2026-08-04,058636,17,"Angles, shapes, and sections of iron or non-alloy steel",EU,44440
2026-08-04,058637,17,"Angles, shapes, and sections of iron or non-alloy steel",Korea (the Republic of),729
2026-08-04,058638,17,"Angles, shapes, and sections of iron or non-alloy steel",United States of America (the),213
2026-08-04,058639,17,"Angles, shapes, and sections of iron or non-alloy steel",Residual,2247
2026-08-04,058642,20,Gas Pipes,EU,3127
2026-08-04,058643,20,Gas Pipes,India,1208
2026-08-04,058644,20,Gas Pipes,Turkey,4390
2026-08-04,058645,20,Gas Pipes,Residual,1221
2026-08-04,058646,21,Hollow Sections,EU,3468
2026-08-04,058647,21,Hollow Sections,Turkey,19603
2026-08-04,058648,21,Hollow Sections,Residual,2464
2026-08-05,058600,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,EU,68638
2026-08-05,058601,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,India,8057
2026-08-05,058602,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,Korea (the Republic of),818
2026-08-05,058603,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,Residual,2071
2026-08-05,058604,4,Metallic Coated Sheets,EU,91162
